feature,score,score_std,input_value,intercept,policy_type,feature_type
Age,-0.31560234602675696,0.15218829539114068,47.0,-1.2119818998742342,All Perils,numeric
Age,0.3624097643071278,0.2803180090076803,48.0,-1.2119818998742342,All Perils,numeric
Age,0.40180048472507524,0.331043981991954,49.0,-1.2119818998742342,All Perils,numeric
Age,0.40900803146117914,0.3376698839450461,50.0,-1.2119818998742342,All Perils,numeric
Age,0.3605558175918979,0.30201769522761546,51.0,-1.2119818998742342,All Perils,numeric
Age,0.26075053874318704,0.21447040106676077,52.0,-1.2119818998742342,All Perils,numeric
Age,0.3157385420497256,0.30574765011701655,53.0,-1.2119818998742342,All Perils,numeric
Age,0.25131909585969814,0.2964523665932267,54.0,-1.2119818998742342,All Perils,numeric
Age,-0.19542252988151243,0.14845519015206926,55.0,-1.2119818998742342,All Perils,numeric
Age,-0.4406852044816978,0.357160823350388,56.0,-1.2119818998742342,All Perils,numeric
Age,-0.42510390888925476,0.32441161860533807,57.0,-1.2119818998742342,All Perils,numeric
Age,-0.236482706900572,0.21744332534649566,58.0,-1.2119818998742342,All Perils,numeric
Age,-0.3799767507458267,0.32411278697855384,59.0,-1.2119818998742342,All Perils,numeric
Age,-0.19495747415577855,0.30609468464323014,60.0,-1.2119818998742342,All Perils,numeric
Age,0.30461264887069317,0.30840601958485875,61.0,-1.2119818998742342,All Perils,numeric
Age,0.16246535566374992,0.2737297042350212,62.0,-1.2119818998742342,All Perils,numeric
Age,-0.34123844260091374,0.4507221873455532,63.0,-1.2119818998742342,All Perils,numeric
Age,0.04235169041558963,0.23565283334072554,64.0,-1.2119818998742342,All Perils,numeric
Age,-0.4304045161636306,0.31896413662142875,65.0,-1.2119818998742342,All Perils,numeric
Age,-0.409596542755166,0.270951006603836,66.0,-1.2119818998742342,All Perils,numeric
Age,-0.2876436283712175,0.15687336782729458,67.0,-1.2119818998742342,All Perils,numeric
Age,-0.0072336284347186705,0.2556124165619398,68.0,-1.2119818998742342,All Perils,numeric
Age,-0.10828273762573691,0.19376873399357605,69.0,-1.2119818998742342,All Perils,numeric
Age,-0.8103696504366936,0.6293339332338415,70.0,-1.2119818998742342,All Perils,numeric
Age,-0.7191900758356052,0.5188576714202386,71.0,-1.2119818998742342,All Perils,numeric
Age,-0.07953913061347163,0.1721032274806757,72.0,-1.2119818998742342,All Perils,numeric
Age,-0.10889527947386031,0.2756378197653725,73.0,-1.2119818998742342,All Perils,numeric
Age,-0.4090051336039372,0.3441756511472848,74.0,-1.2119818998742342,All Perils,numeric
Age,-1.3820441796269458,0.42831901533678035,75.0,-1.2119818998742342,All Perils,numeric
Age,-1.2689606524758448,0.4813128769122716,76.0,-1.2119818998742342,All Perils,numeric
Age,-1.6992697623387438,0.7351379720125827,77.0,-1.2119818998742342,All Perils,numeric
Age,-1.2334735473427962,0.30916139760289074,78.0,-1.2119818998742342,All Perils,numeric
Age,-4.93740891074831,2.024980496069515,79.0,-1.2119818998742342,All Perils,numeric
Age,-4.953044857350313,2.024636839564355,80.0,-1.2119818998742342,All Perils,numeric
Deductible,1.457974673767021,0.18767063502202241,300.0,-1.2119818998742342,All Perils,numeric
Deductible,-0.021423694146427565,0.007980115773996549,400.0,-1.2119818998742342,All Perils,numeric
Deductible,1.1001407528296678,0.4545501284638253,500.0,-1.2119818998742342,All Perils,numeric
Deductible,-0.09976493742680345,0.15083242418764997,700.0,-1.2119818998742342,All Perils,numeric
DriverRating,0.10156279069546,0.02183033200288397,1.0,-1.2119818998742342,All Perils,numeric
DriverRating,0.15028992940794692,0.02234401731037903,2.0,-1.2119818998742342,All Perils,numeric
DriverRating,0.10204842396588754,0.0266338374337281,3.0,-1.2119818998742342,All Perils,numeric
DriverRating,-0.3968319301181615,0.04448556933295523,4.0,-1.2119818998742342,All Perils,numeric
Make,0.4723664744490646,0.061206813442847216,Accura,-1.2119818998742342,All Perils,category
Make,-1.0410160842816447,0.3870603545946905,BMW,-1.2119818998742342,All Perils,category
Make,-0.1874101227123349,0.04968338977445204,Chevrolet,-1.2119818998742342,All Perils,category
Make,-0.4046564910649314,0.29716331220748643,Dodge,-1.2119818998742342,All Perils,category
Make,-0.25190676874481177,0.06930045894769435,Ford,-1.2119818998742342,All Perils,category
Make,-0.5325484535042988,0.04273308196195984,Honda,-1.2119818998742342,All Perils,category
Make,-1.0383527608940952,0.39116254363251063,Jaguar,-1.2119818998742342,All Perils,category
Make,-0.08763388926604124,0.04261302345285889,Mazda,-1.2119818998742342,All Perils,category
Make,-1.0045415449907833,0.39041111306791476,Mecedes,-1.2119818998742342,All Perils,category
Make,-0.6121179225027065,0.41543114240493856,Mercury,-1.2119818998742342,All Perils,category
Make,-0.9721358247219473,0.3924394647218232,Nisson,-1.2119818998742342,All Perils,category
Make,0.3321393501865147,0.022210186631820554,Pontiac,-1.2119818998742342,All Perils,category
Make,-0.9609770790952449,0.39251703571266705,Porche,-1.2119818998742342,All Perils,category
Make,0.13529266805406057,0.18620995688387112,Saab,-1.2119818998742342,All Perils,category
Make,-0.5195154880208418,0.2372315879441814,Saturn,-1.2119818998742342,All Perils,category
Make,-0.0014078569924194256,0.036269360524770346,Toyota,-1.2119818998742342,All Perils,category
Make,-0.4321577308259623,0.11799255288602374,VW,-1.2119818998742342,All Perils,category
VehiclePrice_num,-0.5451922828001557,0.04036532297101474,30000 to 59000,-1.2119818998742342,All Perils,category
VehiclePrice_num,0.15151958781231892,0.01744489396195682,less than 30000,-1.2119818998742342,All Perils,category
VehiclePrice_num,-0.07742001529940326,0.05409489423630785,more than 60000,-1.2119818998742342,All Perils,category
VehicleCategory,0.007247706641432926,0.002644514657727078,Sedan,-1.2119818998742342,All Perils,category
VehicleCategory,-3.1985334000781385,0.7914980366028542,Sport,-1.2119818998742342,All Perils,category
VehicleCategory,0.07520600307342137,0.03454857735826086,Utility,-1.2119818998742342,All Perils,category
AgeOfVehicle,-2.603354611338477,0.7659369956698937,2 years,-1.2119818998742342,All Perils,category
AgeOfVehicle,-0.6154898531001856,0.2388474677618578,3 years,-1.2119818998742342,All Perils,category
AgeOfVehicle,-1.1971042380504668,0.19701802780591005,4 years,-1.2119818998742342,All Perils,category
AgeOfVehicle,-0.4163168569243449,0.08231252944149658,5 years,-1.2119818998742342,All Perils,category
AgeOfVehicle,0.2646793348387003,0.04971487900408248,6 years,-1.2119818998742342,All Perils,category
AgeOfVehicle,0.09958697753887168,0.040749302686797315,7 years,-1.2119818998742342,All Perils,category
AgeOfVehicle,0.006776018686637719,0.03300728322069249,more than 7,-1.2119818998742342,All Perils,category
AgeOfVehicle,-1.0389172493344057,0.6696642198309621,new,-1.2119818998742342,All Perils,category
Sex,-0.7035128545257208,0.07276775819858013,Female,-1.2119818998742342,All Perils,category
