feature,score,score_std,input_value,intercept,policy_type,feature_type
AgeOfVehicle,-0.09847141784596264,0.03585977750337125,more than 7,-1.5314750349836255,Collision,category
AgeOfVehicle,-0.6788712399852794,0.3616855656107678,new,-1.5314750349836255,Collision,category
Sex,-0.6885059629318082,0.057211476687660766,Female,-1.5314750349836255,Collision,category
Sex,0.11209230302592739,0.009314321918326228,Male,-1.5314750349836255,Collision,category
MaritalStatus,-1.6136040206426372,0.696804827032985,Divorced,-1.5314750349836255,Collision,category
MaritalStatus,0.1189728567559262,0.017616253193305106,Married,-1.5314750349836255,Collision,category
MaritalStatus,-0.23979676613220424,0.04054392391602196,Single,-1.5314750349836255,Collision,category
MaritalStatus,0.17582452151668568,0.47322170812817643,Widow,-1.5314750349836255,Collision,category
AgeOfPolicyHolder,-0.017685937658718405,0.1717523973448301,16 to 17,-1.5314750349836255,Collision,category
AgeOfPolicyHolder,-0.7218239175695085,1.0214599174942258,18 to 20,-1.5314750349836255,Collision,category
AgeOfPolicyHolder,0.746112634718173,0.22112549337946658,21 to 25,-1.5314750349836255,Collision,category
AgeOfPolicyHolder,-0.2133868488997732,0.07084458503836509,26 to 30,-1.5314750349836255,Collision,category
AgeOfPolicyHolder,0.011594960072028907,0.01006734764798549,31 to 35,-1.5314750349836255,Collision,category
AgeOfPolicyHolder,-0.03914240598689121,0.031566387990013794,36 to 40,-1.5314750349836255,Collision,category
AgeOfPolicyHolder,0.07917968799496926,0.04125114669162143,41 to 50,-1.5314750349836255,Collision,category
AgeOfPolicyHolder,-0.15313316549885692,0.1140757844546846,51 to 65,-1.5314750349836255,Collision,category
AgeOfPolicyHolder,0.2543828804556092,0.34593762651620297,over 65,-1.5314750349836255,Collision,category
NumberOfCars,0.04707005193041424,0.005114953259494518,1 vehicle,-1.5314750349836255,Collision,category
NumberOfCars,-0.694911536339468,0.09732014406782163,2 vehicles,-1.5314750349836255,Collision,category
NumberOfCars,-0.6856359207505839,0.08637210777427624,3 to 4,-1.5314750349836255,Collision,category
NumberOfCars,-1.7754350673211783,0.7056736892590599,5 to 8,-1.5314750349836255,Collision,category
NumberOfCars,-1.895452719209241,0.8741667662105361,more than 8,-1.5314750349836255,Collision,category
PastNumberOfClaims,-0.24269372975197348,0.031957590613315316,1,-1.5314750349836255,Collision,category
PastNumberOfClaims,0.09747406378857024,0.024287478867640322,2 to 4,-1.5314750349836255,Collision,category
PastNumberOfClaims,-0.12322032628441024,0.048516501860176135,more than 4,-1.5314750349836255,Collision,category
PastNumberOfClaims,0.10654320903570404,0.021769533775045747,none,-1.5314750349836255,Collision,category
PolicyType,-0.0233368296852685,0.0043138168218919085,Sedan - Collision,-1.5314750349836255,Collision,category
PolicyType,0.3598030136626995,0.0572347849972667,Sport - Collision,-1.5314750349836255,Collision,category
PolicyType,-0.1610770527787071,0.21908990923665878,Utility - Collision,-1.5314750349836255,Collision,category
AgentType,0.024751521193644946,0.0037213202569706203,External,-1.5314750349836255,Collision,category
AgentType,-1.4397569064850735,0.2164633235791541,Internal,-1.5314750349836255,Collision,category
